Previous HEAD position was 487e14d549 Polishing
HEAD is now at d303c8a20f Store PathPattern instead of String in attributes
[ BUILD CHECKER ] CHECK BUILD FOR STEP 2
[ BUILD CHECKER ] d303c8a commit already checked: SUCCESS
[ BUILD CHECKER ] ab8310b commit already checked: SUCCESS
[ BUILD CHECKER ] fdaceeb commit already checked: SUCCESS
[ BUILD CHECKER ] 2c5a1af commit already checked: SUCCESS
[ BUILD CHECKER ] f885910 commit already checked: SUCCESS
[ BUILD CHECKER ] e14cf69 commit already checked: SUCCESS
[ BUILD CHECKER ] 93bb78e commit already checked: SUCCESS
[ BUILD CHECKER ] b2bf5fe commit already checked: SUCCESS
[ BUILD CHECKER ] 423aa28 commit already checked: SUCCESS
[ BUILD CHECKER ] 5094941 commit already checked: SUCCESS
[ BUILD CHECKER ] 608fd76 commit already checked: SUCCESS
[ BUILD CHECKER ] 58b3af9 commit already checked: SUCCESS
[ BUILD CHECKER ] 5f2d47a commit already checked: SUCCESS
[ BUILD CHECKER ] 2255d22 commit already checked: SUCCESS
[ BUILD CHECKER ] ecd0d7f commit already checked: SUCCESS
[ BUILD CHECKER ] 309e70a commit already checked: SUCCESS
[ BUILD CHECKER ] 658c7f9 commit already checked: SUCCESS
[ BUILD CHECKER ] c5ca56b commit already checked: SUCCESS
[ BUILD CHECKER ] 0583091 commit already checked: SUCCESS
[ BUILD CHECKER ] 864d7ea commit already checked: SUCCESS
[ BUILD CHECKER ] bfc5ad8 commit already checked: SUCCESS
[ BUILD CHECKER ] b7e4a56 commit already checked: SUCCESS
[ BUILD CHECKER ] 0b2c482 commit already checked: SUCCESS
[ BUILD CHECKER ] dcf2861 commit already checked: SUCCESS
[ BUILD CHECKER ] 5474995 commit already checked: SUCCESS
[ BUILD CHECKER ] a2ae5f6 commit already checked: SUCCESS
[ BUILD CHECKER ] 4ee704c commit already checked: SUCCESS
[ BUILD CHECKER ] 8df0bc8 commit already checked: SUCCESS
[ BUILD CHECKER ] c567e65 commit already checked: SUCCESS
[ BUILD CHECKER ] 050f44d commit already checked: SUCCESS
[ BUILD CHECKER ] 60b5161 commit already checked: SUCCESS
[ BUILD CHECKER ] 10d5de7 commit already checked: SUCCESS
[ BUILD CHECKER ] 8de5c05 commit already checked: SUCCESS
[ BUILD CHECKER ] f12c28e commit already checked: SUCCESS
[ BUILD CHECKER ] ce7278a commit already checked: SUCCESS
[ BUILD CHECKER ] 61403e3 commit already checked: SUCCESS
[ BUILD CHECKER ] cc172bc commit already checked: SUCCESS
[ BUILD CHECKER ] e181498 commit already checked: SUCCESS
[ BUILD CHECKER ] c89e3e6 commit already checked: SUCCESS
[ BUILD CHECKER ] d059241 commit already checked: SUCCESS
[ BUILD CHECKER ] 82a211f commit already checked: SUCCESS
[ BUILD CHECKER ] 062805f commit already checked: SUCCESS
[ BUILD CHECKER ] 053820c commit already checked: SUCCESS
[ BUILD CHECKER ] f662e3b commit already checked: SUCCESS
[ BUILD CHECKER ] 44afed4 commit already checked: SUCCESS
[ BUILD CHECKER ] 83909e6 commit already checked: SUCCESS
[ BUILD CHECKER ] fdf3403 commit already checked: SUCCESS
[ BUILD CHECKER ] d9e7253 commit already checked: SUCCESS
[ BUILD CHECKER ] 2b986af commit already checked: SUCCESS
[ BUILD CHECKER ] c8c0737 commit already checked: SUCCESS
[ BUILD CHECKER ] 19f3347 commit already checked: SUCCESS
[ BUILD CHECKER ] efdbddd commit already checked: SUCCESS
[ BUILD CHECKER ] cf3635b commit already checked: SUCCESS
[ BUILD CHECKER ] 1e0de07 commit already checked: SUCCESS
